Zip_CoDE,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher
34471,593,3.4,1198,6.9,5125,29.6,3588,20.7,1721,9.9,3290,19,1795,10.4,89.7
34472,882,4.7,1608,8.5,7320,38.8,4208,22.3,2189,11.6,1747,9.3,892,4.7,86.8
34473,403,2.9,1704,12.2,4769,34.1,3316,23.7,1168,8.4,1912,13.7,699,5,84.9
34474,344,3.1,786,7.2,3444,31.4,2459,22.4,1359,12.4,1523,13.9,1042,9.5,89.7
34475,487,5.7,1407,16.4,3512,41,1804,21.1,461,5.4,542,6.3,350,4.1,77.9
34476,412,2.2,1433,7.8,6366,34.6,4608,25,1527,8.3,2805,15.2,1259,6.8,90
34479,290,3.1,780,8.2,4194,44.3,2163,22.9,852,9,873,9.2,309,3.3,88.7
34480,396,3.2,556,4.4,4647,37,2832,22.5,1082,8.6,1663,13.2,1384,11,92.4
34481,582,3.5,1383,8.4,4749,28.7,3940,23.8,1850,11.2,2561,15.5,1479,8.9,88.1
34482,850,4.8,2444,13.7,6575,36.8,3314,18.6,1742,9.8,2010,11.3,909,5.1,81.5
34484,128,5.3,103,4.2,686,28.2,718,29.5,347,14.3,372,15.3,77,3.2,90.5
34488,396,5.2,1070,13.9,3262,42.5,1527,19.9,751,9.8,528,6.9,143,1.9,80.9
34491,944,4.3,1887,8.5,8887,40.1,4359,19.7,1790,8.1,2859,12.9,1420,6.4,87.2
34498,3,0.6,49,10.1,162,33.5,96,19.9,38,7.9,98,20.3,37,7.7,89.2
34601,697,4.4,1742,11.1,5994,38.2,3170,20.2,1409,9,1781,11.3,902,5.7,84.5
34602,193,3.7,479,9.1,1826,34.6,1068,20.3,576,10.9,782,14.8,347,6.6,87.3
34604,317,4.1,837,10.9,2983,38.9,1702,22.2,613,8,766,10,450,5.9,85
34606,733,3.6,1839,9,7385,36.2,4922,24.1,2203,10.8,2311,11.3,1012,5,87.4
34607,123,1.7,619,8.7,2398,33.9,1874,26.5,656,9.3,932,13.2,481,6.8,89.5
34608,900,3.8,2162,9.2,9329,39.8,5271,22.5,2774,11.8,1966,8.4,1024,4.4,86.9
34609,1005,3.6,2126,7.7,8656,31.4,6917,25.1,3689,13.4,3488,12.6,1714,6.2,88.7
34610,311,3.3,1127,11.9,3622,38.4,2165,22.9,1008,10.7,747,7.9,459,4.9,84.8
34613,481,3.3,1494,10.3,5556,38.3,3459,23.8,1197,8.3,1486,10.2,833,5.7,86.4
34614,116,2.3,429,8.6,2018,40.4,1227,24.5,496,9.9,500,10,214,4.3,89.1
34637,196,3.3,656,11,1445,24.3,1245,20.9,621,10.4,1211,20.3,584,9.8,85.7
34638,120,0.8,720,4.7,3309,21.5,3142,20.4,2275,14.8,3740,24.3,2070,13.5,94.5
34639,574,3.1,964,5.2,4092,22.3,3830,20.8,2738,14.9,4166,22.7,2007,10.9,91.6
34652,813,4.5,1615,8.9,6924,38.3,3790,21,1927,10.7,1913,10.6,1101,6.1,86.6
34653,1128,4.5,2184,8.7,9323,37.2,5729,22.8,3192,12.7,2414,9.6,1120,4.5,86.8
34654,494,3,1631,9.8,5649,33.8,3829,22.9,1751,10.5,2024,12.1,1315,7.9,87.3
34655,622,2.2,1087,3.8,8630,29.9,6644,23.1,3310,11.5,5605,19.5,2919,10.1,94.1
34661,0,0,0,0,45,60.8,0,0,7,9.5,0,0,22,29.7,100
34667,814,3.1,2746,10.5,9790,37.3,5830,22.2,2439,9.3,3159,12,1493,5.7,86.4
34668,1368,4.2,3419,10.4,12557,38.2,7902,24,3713,11.3,2750,8.4,1163,3.5,85.4
34669,305,3.4,757,8.5,3610,40.4,2019,22.6,808,9,1097,12.3,350,3.9,88.1
34677,477,3.1,589,3.8,4317,27.7,3353,21.5,1316,8.4,3654,23.4,1896,12.2,93.2
34679,0,0,0,0,47,74.6,6,9.5,0,0,5,7.9,5,7.9,100
34681,2,0.3,23,3.1,194,26.2,99,13.4,0,0,260,35.1,162,21.9,96.6
34683,499,2.1,909,3.8,5461,22.9,5402,22.7,2942,12.4,5990,25.2,2595,10.9,94.1
34684,182,0.8,814,3.6,6499,28.8,5143,22.8,2706,12,4864,21.6,2330,10.3,95.6
34685,237,1.8,246,1.9,2795,21.4,2459,18.9,1096,8.4,3873,29.7,2328,17.9,96.3
34688,211,3.8,125,2.3,1152,20.9,1046,19,596,10.8,1604,29.1,781,14.2,93.9
34689,909,4.2,1757,8.2,6747,31.4,3862,18,2565,11.9,3827,17.8,1820,8.5,87.6
34690,534,5.6,849,8.9,4376,46,1558,16.4,1075,11.3,751,7.9,361,3.8,85.4
34691,853,5.9,1127,7.8,5859,40.5,2837,19.6,1363,9.4,1838,12.7,590,4.1,86.3
34695,215,1.6,601,4.4,3301,24,2753,20,1422,10.3,3433,25,2026,14.7,94.1
34698,1056,3.5,1555,5.1,9173,30.2,6651,21.9,2729,9,6251,20.6,2989,9.8,91.4
34705,110,5.6,260,13.3,743,38.1,497,25.5,185,9.5,140,7.2,17,0.9,81
34711,988,2.6,1812,4.7,10053,26.3,9623,25.2,4481,11.7,7459,19.5,3795,9.9,92.7
34714,510,4,1023,8.1,3508,27.8,3023,23.9,1579,12.5,2460,19.5,522,4.1,87.9
34715,648,5.7,1152,10.2,2971,26.3,2505,22.2,1364,12.1,1824,16.2,828,7.3,84.1
34731,202,2.5,880,10.7,3188,38.9,1781,21.8,826,10.1,803,9.8,507,6.2,86.8
34734,131,4.8,187,6.9,851,31.4,453,16.7,204,7.5,610,22.5,275,10.1,88.3
34736,1096,9.8,1006,9,4156,37.1,2212,19.7,719,6.4,1571,14,456,4.1,81.3
34737,59,3.1,106,5.5,543,28.4,473,24.8,180,9.4,321,16.8,228,11.9,91.4
34739,16,5.4,60,20.2,86,29,0,0,66,22.2,69,23.2,0,0,74.4
34741,1790,6,3345,11.2,9891,33.2,7657,25.7,2804,9.4,3148,10.6,1159,3.9,82.8
34743,2201,8.5,2795,10.8,9383,36.4,5725,22.2,2190,8.5,2538,9.8,936,3.6,80.6
34744,2140,6.5,2625,7.9,9790,29.5,8032,24.2,3676,11.1,4740,14.3,2171,6.5,85.6
34746,1309,5,1934,7.4,8219,31.3,6799,25.9,3053,11.6,3716,14.1,1255,4.8,87.7
34747,248,2.2,118,1,2585,22.8,2193,19.4,969,8.6,3071,27.1,2130,18.8,96.8
34748,822,2.6,2669,8.6,11699,37.6,7028,22.6,2605,8.4,3794,12.2,2526,8.1,88.8
34753,486,13.6,638,17.9,1370,38.5,625,17.6,209,5.9,163,4.6,70,2,68.4
34756,119,5.1,167,7.2,713,30.8,507,21.9,200,8.6,393,17,214,9.3,87.6
34758,1236,5.4,2071,9,9906,43,4581,19.9,2084,9,2454,10.6,732,3.2,85.7
34759,1557,6.7,1928,8.3,6453,27.8,5160,22.2,2176,9.4,4222,18.2,1741,7.5,85
34760,0,0,80,12.7,220,34.8,153,24.2,60,9.5,79,12.5,40,6.3,87.3
34761,1885,6.9,1896,6.9,7504,27.4,5240,19.1,3167,11.5,4970,18.1,2771,10.1,86.2
34762,36,11.3,36,11.3,141,44.2,52,16.3,15,4.7,11,3.4,28,8.8,77.4
34769,1017,6.3,1358,8.3,6309,38.8,3859,23.7,1434,8.8,1682,10.3,612,3.8,85.4
34771,259,2.8,557,6,3500,37.5,2084,22.4,1079,11.6,1318,14.1,526,5.6,91.2
34772,806,4.2,1369,7.2,6092,32,4630,24.3,2089,11,3041,16,990,5.2,88.6
34785,929,4,2133,9.1,7814,33.4,4550,19.5,1914,8.2,3420,14.6,2632,11.3,86.9
34786,485,2,330,1.4,2560,10.6,3362,14,2468,10.3,10175,42.3,4692,19.5,96.6
34787,1643,4.5,2166,6,9432,26,6376,17.6,3395,9.4,8545,23.6,4652,12.8,89.5
34788,389,2.7,992,7,5680,39.9,3834,26.9,1174,8.2,1478,10.4,684,4.8,90.3
34797,0,0,11,1.6,191,27,159,22.5,141,19.9,73,10.3,133,18.8,98.4
34945,115,2.8,1105,26.7,1121,27.1,802,19.4,430,10.4,392,9.5,167,4,70.5
34946,343,7.4,602,13,1509,32.5,949,20.5,536,11.6,435,9.4,264,5.7,79.6
34947,660,8.8,963,12.9,3086,41.2,1220,16.3,827,11,499,6.7,238,3.2,78.3
34949,41,0.6,173,2.6,1356,20.2,1702,25.3,800,11.9,1389,20.7,1258,18.7,96.8
34950,1559,15.9,1362,13.9,3534,36.1,1486,15.2,894,9.1,755,7.7,194,2,70.1
34951,368,3,1074,8.7,5077,41,2596,21,1415,11.4,1098,8.9,751,6.1,88.4
34952,1329,4.4,2442,8,10657,35,7248,23.8,3086,10.1,3642,12,2049,6.7,87.6
34953,2243,5.2,4289,9.9,13805,31.8,9966,23,4997,11.5,5495,12.7,2567,5.9,84.9
34956,1856,29.4,773,12.3,1938,30.7,841,13.3,341,5.4,345,5.5,214,3.4,58.3
34957,138,0.8,926,5.1,5865,32,3941,21.5,1848,10.1,3425,18.7,2178,11.9,94.2
34972,2344,17.8,2287,17.4,4665,35.5,2144,16.3,478,3.6,800,6.1,437,3.3,64.8
34974,1545,9.2,2041,12.2,6773,40.3,3067,18.3,1349,8,1439,8.6,584,3.5,78.7
34981,291,7.9,186,5,1533,41.4,798,21.5,212,5.7,391,10.6,293,7.9,87.1
34982,1600,9.2,1897,10.9,6325,36.5,3335,19.2,1738,10,1604,9.3,831,4.8,79.8
34983,1387,4.9,2160,7.6,9981,35,6663,23.4,3406,11.9,3344,11.7,1572,5.5,87.6
34984,666,6.3,716,6.8,3484,33.2,2692,25.7,863,8.2,1281,12.2,793,7.6,86.8
34986,681,3.6,849,4.5,4823,25.5,3856,20.4,2408,12.7,4021,21.2,2301,12.1,91.9
34987,118,2.3,187,3.7,1046,20.7,1587,31.4,541,10.7,931,18.4,648,12.8,94
34990,236,1.1,907,4.2,4327,20,4770,22,2084,9.6,5673,26.2,3683,17,94.7
34994,612,4.9,913,7.3,3121,25,3496,28,1418,11.3,1837,14.7,1109,8.9,87.8
34996,81,0.9,306,3.2,2161,22.7,2269,23.9,810,8.5,2198,23.1,1687,17.7,95.9
34997,1629,5,1928,5.9,9737,29.9,7631,23.4,3488,10.7,5449,16.7,2681,8.2,89.1
32003,268,1.4,342,1.7,3724,18.9,4160,21.1,2806,14.2,5781,29.3,2641,13.4,96.9
32008,324,8.2,528,13.3,1752,44.1,837,21.1,353,8.9,155,3.9,23,0.6,78.5
32009,65,2.9,229,10.3,901,40.3,528,23.6,231,10.3,219,9.8,60,2.7,86.8
32011,249,2.6,1082,11.2,4312,44.8,2252,23.4,740,7.7,713,7.4,285,3,86.2
32024,650,4.9,1013,7.7,4848,36.9,3156,24,1416,10.8,1365,10.4,688,5.2,87.3
32025,553,3.6,1680,10.9,5457,35.5,3882,25.3,1333,8.7,1377,9,1080,7,85.5
32026,128,8.3,696,45.1,481,31.2,157,10.2,38,2.5,29,1.9,15,1,46.6
32033,117,3.5,237,7.2,1126,34.1,713,21.6,356,10.8,469,14.2,283,8.6,89.3
32034,646,2.5,879,3.4,6630,25.7,5740,22.2,2119,8.2,5989,23.2,3802,14.7,94.1
32038,279,4.2,597,9.1,2358,35.9,1820,27.7,590,9,429,6.5,501,7.6,86.7
32040,129,2.7,331,7,2342,49.9,936,19.9,376,8,497,10.6,87,1.9,90.2
32043,915,5.3,1343,7.7,5773,33.3,4295,24.8,1533,8.8,2291,13.2,1192,6.9,87
32044,40,2.8,288,20.1,370,25.8,210,14.6,342,23.8,167,11.6,17,1.2,77.1
32046,322,5.1,524,8.3,2976,46.9,1649,26,404,6.4,363,5.7,109,1.7,86.7
32052,320,4.9,1295,19.7,2694,41.1,1319,20.1,404,6.2,383,5.8,145,2.2,75.4
32053,208,9.4,409,18.4,673,30.3,497,22.4,100,4.5,256,11.5,78,3.5,72.2
32054,515,6.2,1474,17.7,3404,40.9,1667,20.1,573,6.9,498,6,183,2.2,76.1
32055,657,5.5,1095,9.2,4220,35.5,2928,24.6,1107,9.3,1297,10.9,590,5,85.3
32058,288,9,607,18.9,1319,41.1,572,17.8,199,6.2,165,5.1,57,1.8,72.1
32059,44,2.5,158,9.1,532,30.6,554,31.8,246,14.1,155,8.9,51,2.9,88.4
32060,812,5,2526,15.5,6547,40.1,3371,20.6,934,5.7,1586,9.7,570,3.5,79.6
32061,82,42.9,0,0,70,36.6,18,9.4,21,11,0,0,0,0,57.1
32062,34,1.8,182,9.5,935,48.7,293,15.3,147,7.7,210,10.9,117,6.1,88.7
32063,627,6.7,1071,11.4,3396,36.2,2050,21.9,836,8.9,903,9.6,491,5.2,81.9
32064,399,8.5,1023,21.9,1596,34.2,813,17.4,328,7,383,8.2,131,2.8,69.6
32065,577,2.4,1237,5.2,6664,28.1,5398,22.8,2955,12.5,4892,20.6,1968,8.3,92.3
32066,513,9.9,886,17,1951,37.5,881,16.9,235,4.5,364,7,373,7.2,73.1
32068,1190,3.4,2721,7.8,12617,36.1,9227,26.4,3486,10,4119,11.8,1551,4.4,88.8
32071,123,5.6,178,8,1010,45.6,505,22.8,138,6.2,238,10.7,24,1.1,86.4
32072,0,0,0,0,93,57.8,52,32.3,0,0,16,9.9,0,0,100
32073,549,2,1451,5.4,8350,31,7135,26.5,3590,13.3,4140,15.4,1729,6.4,92.6
32079,19,5.1,32,8.7,87,23.6,19,5.1,28,7.6,93,25.2,91,24.7,86.2
32080,174,1,357,2,3156,17.7,3921,22,1513,8.5,4733,26.5,3981,22.3,97
32081,0,0,36,0.6,765,12.2,1182,18.9,496,7.9,2297,36.7,1484,23.7,99.4
32082,188,0.8,222,1,2778,12,4267,18.4,1963,8.5,8175,35.3,5571,24.1,98.2
32083,193,6.4,765,25.3,1133,37.5,581,19.3,187,6.2,109,3.6,50,1.7,68.3
32084,942,4.1,1650,7.1,7321,31.6,5564,24,1866,8.1,3864,16.7,1943,8.4,88.8
32086,383,1.9,980,4.8,5441,26.4,5664,27.5,2302,11.2,4060,19.7,1750,8.5,93.4
32087,239,6.7,798,22.3,1523,42.6,528,14.8,199,5.6,200,5.6,88,2.5,71
32091,639,6.2,1382,13.3,3515,33.9,2451,23.6,1112,10.7,899,8.7,380,3.7,80.5
32092,217,1,609,2.9,4018,19.1,4703,22.4,1865,8.9,6886,32.8,2719,12.9,96.1
32094,133,7.2,275,14.9,779,42.2,252,13.7,217,11.8,166,9,23,1.2,77.9
32095,28,0.5,457,8,1455,25.6,956,16.8,682,12,1333,23.4,780,13.7,91.5
32096,88,5.5,234,14.6,634,39.5,260,16.2,136,8.5,127,7.9,126,7.9,79.9
32097,447,3.8,618,5.3,4588,39.2,2628,22.5,1281,10.9,1563,13.4,576,4.9,90.9
32102,133,7.7,241,14,614,35.7,402,23.3,136,7.9,168,9.8,28,1.6,78.3
32110,196,3.6,850,15.5,2442,44.6,1091,19.9,387,7.1,387,7.1,119,2.2,80.9
32112,675,13.1,1061,20.6,1815,35.2,963,18.7,243,4.7,269,5.2,135,2.6,66.4
32113,267,6.7,608,15.3,1890,47.7,659,16.6,202,5.1,229,5.8,111,2.8,77.9
32114,800,4,2036,10.1,7268,36,4847,24,2022,10,2156,10.7,1040,5.2,85.9
32117,974,5.5,2165,12.2,7048,39.6,3325,18.7,1879,10.6,1657,9.3,759,4.3,82.4
32118,350,2.4,862,6,4135,28.7,3495,24.3,1086,7.5,2798,19.4,1677,11.6,91.6
32119,360,2.2,1280,7.9,5470,33.9,4196,26,1533,9.5,2257,14,1050,6.5,89.8
32124,167,4.1,398,9.7,1488,36.4,541,13.2,468,11.4,638,15.6,392,9.6,86.2
32127,488,2.1,1944,8.4,7702,33.2,5000,21.6,2256,9.7,3709,16,2085,9,89.5
32128,207,1.5,865,6.4,2807,20.7,2819,20.8,1555,11.5,3118,23,2167,16,92.1
32129,364,2.4,1081,7.1,5183,34,3772,24.8,1755,11.5,2285,15,790,5.2,90.5
32130,331,8.7,585,15.3,1070,28.1,794,20.8,295,7.7,499,13.1,240,6.3,76
32131,218,6.1,386,10.8,1338,37.5,792,22.2,214,6,363,10.2,255,7.2,83.1
32132,137,2.5,388,7,2075,37.6,1608,29.1,593,10.7,416,7.5,301,5.5,90.5
32133,0,0,0,0,14,17.1,33,40.2,35,42.7,0,0,0,0,100
32134,291,5.1,930,16.2,2467,43,1045,18.2,450,7.8,261,4.5,298,5.2,78.7
32136,106,1.6,306,4.7,1981,30.6,1310,20.2,711,11,1280,19.7,789,12.2,93.6
32137,761,2.5,1522,4.9,9709,31.5,7803,25.3,2770,9,5228,17,3020,9.8,92.6
32139,93,10.6,129,14.7,335,38.1,220,25,50,5.7,31,3.5,22,2.5,74.8
32140,31,4.5,176,25.3,277,39.8,94,13.5,44,6.3,66,9.5,8,1.1,70.3
32141,367,2.6,1008,7.2,5600,39.8,3590,25.5,1446,10.3,1189,8.4,880,6.3,90.2
32145,195,5,570,14.7,1462,37.6,907,23.3,276,7.1,295,7.6,183,4.7,80.3
32147,0,0,13,6.4,71,35.1,56,27.7,22,10.9,40,19.8,0,0,93.6
32148,694,9.7,1068,15,2917,40.9,1482,20.8,431,6,365,5.1,172,2.4,75.3
32157,0,0,57,23.3,131,53.5,29,11.8,7,2.9,7,2.9,14,5.7,76.7
32159,453,1.7,1817,6.9,9168,34.6,5905,22.3,2220,8.4,3961,15,2935,11.1,91.4
32162,534,1,1397,2.6,14165,26.1,12672,23.4,4308,7.9,12303,22.7,8880,16.4,96.4
32164,827,2.5,2278,6.9,11253,34.2,8670,26.4,3175,9.7,4363,13.3,2335,7.1,90.6
32168,341,1.7,1587,8.1,6945,35.2,4683,23.8,1763,8.9,2964,15,1423,7.2,90.2
32169,80,0.8,280,2.9,1960,20.6,2189,23,1003,10.5,2376,24.9,1642,17.2,96.2
32174,813,2.1,1746,4.5,11487,29.9,9608,25,3569,9.3,6747,17.6,4465,11.6,93.3
32176,302,2.5,602,4.9,3513,28.7,2897,23.7,1019,8.3,2285,18.7,1625,13.3,92.6
32177,1065,6.1,2436,13.9,6716,38.3,3353,19.1,1314,7.5,1857,10.6,785,4.5,80
32179,226,4.1,683,12.4,2587,47,1327,24.1,283,5.1,142,2.6,252,4.6,83.5
32180,291,11.6,345,13.8,724,28.9,625,25,226,9,181,7.2,109,4.4,74.6
32181,92,5.8,281,17.6,656,41.1,301,18.9,104,6.5,84,5.3,78,4.9,76.6
32187,109,8.2,204,15.4,535,40.4,287,21.7,136,10.3,16,1.2,36,2.7,76.3
32189,377,7.9,614,12.9,2015,42.4,948,19.9,243,5.1,388,8.2,167,3.5,79.1
32190,100,13.1,146,19.1,319,41.6,60,7.8,28,3.7,86,11.2,27,3.5,67.9
32193,34,4.7,116,16,260,35.9,109,15,65,9,66,9.1,75,10.3,79.3
32195,75,2.9,195,7.5,1172,45.1,473,18.2,395,15.2,238,9.2,49,1.9,89.6
32202,224,4.6,943,19.6,1341,27.8,1125,23.3,247,5.1,537,11.1,402,8.3,75.8
32204,274,4.9,388,6.9,1296,23.1,933,16.6,463,8.3,1466,26.2,784,14,88.2
32205,679,3.3,1925,9.4,5295,26,4956,24.3,1792,8.8,3453,16.9,2301,11.3,87.2
32206,743,6.6,1744,15.4,4013,35.4,2643,23.3,428,3.8,1201,10.6,559,4.9,78.1
32207,1322,5.5,1984,8.2,5959,24.7,5136,21.3,2137,8.8,5006,20.7,2614,10.8,86.3
32208,666,3.1,3216,15,8449,39.3,4744,22.1,1577,7.3,2008,9.3,845,3.9,81.9
32209,1024,4.8,3551,16.8,9353,44.2,3991,18.8,1280,6,1479,7,499,2.4,78.4
32210,1658,4.1,3677,9.1,12760,31.5,10390,25.6,4018,9.9,5774,14.2,2286,5.6,86.8
32211,808,3.7,2437,11.3,7029,32.5,6006,27.8,1963,9.1,2541,11.7,842,3.9,85
32212,0,0,20,2.1,406,42.9,118,12.5,194,20.5,204,21.6,4,0.4,97.9
32216,646,2.4,2434,9.1,7382,27.7,5475,20.6,2459,9.2,6255,23.5,1958,7.4,88.4
32217,816,6,1157,8.5,3031,22.2,2971,21.7,1261,9.2,2962,21.7,1473,10.8,85.6
32218,1104,3,3320,9,11770,32.1,9087,24.8,4152,11.3,5330,14.5,1943,5.3,87.9
32219,395,4.9,1163,14.4,2439,30.1,2154,26.6,791,9.8,802,9.9,356,4.4,80.8
32220,320,3.5,822,9.1,3876,42.8,1621,17.9,938,10.4,1044,11.5,437,4.8,87.4
32221,587,2.9,2131,10.7,7281,36.5,4675,23.5,1894,9.5,2543,12.8,824,4.1,86.4
32222,122,1.9,539,8.2,1778,27,1798,27.3,1048,15.9,933,14.2,365,5.5,90
32223,284,1.6,648,3.6,3783,20.8,4173,22.9,1743,9.6,4766,26.2,2800,15.4,94.9
32224,400,1.6,881,3.5,4541,17.9,4684,18.5,2581,10.2,8340,32.9,3950,15.6,95
32225,710,1.9,1513,4.1,10037,27,8429,22.6,4518,12.1,8282,22.2,3746,10.1,94
32226,312,3,821,7.9,2967,28.6,2555,24.6,1066,10.3,1808,17.4,856,8.2,89.1
32227,0,0,17,2.3,246,33,258,34.6,52,7,117,15.7,56,7.5,97.7
32228,0,0,0,0,25,26.9,55,59.1,0,0,13,14,0,0,100
32233,473,2.8,1088,6.3,4787,27.9,3564,20.8,1749,10.2,3486,20.3,2001,11.7,90.9
32234,288,6.8,502,11.9,1966,46.5,863,20.4,241,5.7,300,7.1,70,1.7,81.3
32244,1283,3.4,3287,8.7,10987,29.1,10291,27.3,4384,11.6,5631,14.9,1875,5,87.9
32246,1342,3.9,2586,7.5,8954,25.9,7688,22.2,3773,10.9,7659,22.1,2636,7.6,88.7
32250,131,0.6,564,2.8,3964,19.6,4349,21.4,2040,10.1,5838,28.8,3390,16.7,96.6
32254,529,6.4,1584,19.2,3241,39.3,1787,21.7,683,8.3,345,4.2,74,0.9,74.4
32256,362,1.2,981,3.3,5069,16.9,6467,21.6,2112,7.1,8910,29.8,6021,20.1,95.5
32257,741,2.7,982,3.6,7026,26.1,6203,23,2708,10,6491,24.1,2820,10.5,93.6
32258,417,2,525,2.5,3399,16.4,4668,22.5,2275,11,6240,30.1,3237,15.6,95.5
32259,271,0.9,574,2,5134,17.8,5364,18.6,2984,10.4,9750,33.9,4717,16.4,97.1
32266,22,0.4,73,1.4,850,16.8,1072,21.2,649,12.8,1422,28.1,977,19.3,98.1
32277,537,2.9,969,5.2,5567,30,4852,26.1,2231,12,3395,18.3,1020,5.5,91.9
32301,516,3,773,4.5,3042,17.6,3504,20.2,1897,11,4298,24.8,3289,19,92.6
32303,359,1.2,1569,5.3,5757,19.4,6470,21.8,3194,10.7,7799,26.2,4576,15.4,93.5
32304,840,6.2,1572,11.5,3099,22.8,2863,21,1522,11.2,2206,16.2,1511,11.1,82.3
32305,591,4.9,1470,12.1,3930,32.4,2965,24.4,1047,8.6,1368,11.3,758,6.2,83
32308,266,1.6,547,3.4,2470,15.2,2762,17,1124,6.9,4327,26.7,4725,29.1,95
32309,152,0.7,378,1.7,3051,14,3885,17.8,1926,8.8,6892,31.6,5514,25.3,97.6
32310,401,4.3,1031,11,3139,33.4,1995,21.2,713,7.6,1243,13.2,878,9.3,84.8
32311,331,2.4,440,3.1,2597,18.5,2677,19.1,1066,7.6,3670,26.1,3268,23.3,94.5
32312,134,0.6,531,2.4,2316,10.6,3716,17,1757,8.1,7262,33.3,6084,27.9,96.9
32317,123,1.3,256,2.6,1413,14.4,1655,16.9,980,10,3118,31.9,2244,22.9,96.1
32320,176,6.7,380,14.6,846,32.4,634,24.3,131,5,255,9.8,187,7.2,78.7
32321,314,7.7,665,16.2,1887,46,662,16.1,148,3.6,207,5,220,5.4,76.1
32322,289,8.4,472,13.8,1454,42.5,532,15.5,279,8.1,303,8.8,95,2.8,77.8
32323,16,5.7,63,22.5,129,46.1,18,6.4,21,7.5,6,2.1,27,9.6,71.8
32324,273,7.7,695,19.6,1193,33.7,758,21.4,202,5.7,265,7.5,152,4.3,72.6
32327,601,3.1,1843,9.4,7212,36.8,4743,24.2,1900,9.7,2244,11.5,1049,5.4,87.5
32328,102,4.4,315,13.7,650,28.3,535,23.3,155,6.8,319,13.9,219,9.5,81.8
32330,69,16.9,28,6.9,158,38.7,96,23.5,0,0,44,10.8,13,3.2,76.2
32331,210,7.2,335,11.5,1100,37.6,525,17.9,359,12.3,206,7,190,6.5,81.4
32332,53,4.6,235,20.5,466,40.7,230,20.1,34,3,97,8.5,31,2.7,74.9
32333,360,4.6,859,11,2552,32.7,1495,19.2,737,9.5,1079,13.8,714,9.2,84.4
32334,70,4.6,127,8.3,732,47.8,269,17.6,57,3.7,220,14.4,55,3.6,87.1
32336,68,5.8,129,11,314,26.8,234,19.9,165,14.1,206,17.6,57,4.9,83.2
32340,407,5,1034,12.8,3224,40,1748,21.7,604,7.5,610,7.6,441,5.5,82.1
32343,42,2.2,113,6,583,31.2,479,25.6,150,8,315,16.8,189,10.1,91.7
32344,571,5.9,1414,14.7,3311,34.5,1778,18.5,769,8,1042,10.9,716,7.5,79.3
32346,28,1.9,134,9.1,589,39.9,395,26.7,81,5.5,192,13,58,3.9,89
32347,333,6.2,518,9.6,2163,40,1139,21.1,632,11.7,497,9.2,121,2.2,84.2
32348,497,5.4,1779,19.2,3879,42,1770,19.1,451,4.9,422,4.6,445,4.8,75.4
32350,56,6.3,104,11.6,321,35.9,223,24.9,119,13.3,43,4.8,29,3.2,82.1
