Zip_CoDE,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,Percent!!EDUCATIONAL ATTAINMENT!!Percent high school graduate or higher
32351,1012,7.9,2299,17.9,4750,37,2120,16.5,866,6.7,1130,8.8,653,5.1,74.2
32352,313,7.4,379,9,1634,38.8,864,20.5,143,3.4,575,13.7,302,7.2,83.6
32355,7,3.7,12,6.3,74,38.9,27,14.2,19,10,43,22.6,8,4.2,90
32356,0,0,14,11.2,85,68,26,20.8,0,0,0,0,0,0,88.8
32358,25,1.8,111,7.8,587,41.2,353,24.8,129,9.1,170,11.9,49,3.4,90.4
32359,123,9.2,147,11,515,38.6,278,20.8,206,15.4,18,1.3,47,3.5,79.8
32361,0,0,45,36,30,24,6,4.8,35,28,9,7.2,0,0,64
32399,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-
32401,847,5.1,2047,12.3,5489,33,3922,23.6,1170,7,2133,12.8,1029,6.2,82.6
32403,14,1,15,1.1,171,12.7,282,20.9,231,17.1,405,30.1,229,17,97.8
32404,818,3.2,2602,10,8618,33.2,7314,28.2,2665,10.3,2497,9.6,1411,5.4,86.8
32405,638,2.9,1420,6.5,6742,30.9,5364,24.6,2589,11.9,3379,15.5,1678,7.7,90.6
32407,95,1.3,241,3.4,2173,30.3,1772,24.7,1024,14.3,1288,18,579,8.1,95.3
32408,133,1.2,481,4.2,2937,25.5,2839,24.7,1405,12.2,2443,21.2,1270,11,94.7
32409,408,5.9,730,10.6,2207,32,1763,25.5,782,11.3,783,11.3,230,3.3,83.5
32410,16,1.8,41,4.6,192,21.6,174,19.6,108,12.2,169,19,188,21.2,93.6
32413,207,1.9,895,8.1,2979,27,2325,21.1,1161,10.5,2485,22.5,990,9,90
32420,103,8.1,179,14,470,36.8,346,27.1,70,5.5,51,4,59,4.6,77.9
32421,311,9,322,9.3,1384,40,697,20.1,222,6.4,410,11.8,116,3.4,81.7
32423,28,3.8,63,8.5,245,33,202,27.2,96,12.9,76,10.2,33,4.4,87.8
32424,378,6.9,1175,21.4,2174,39.6,1123,20.5,244,4.4,289,5.3,106,1.9,71.7
32425,663,6.8,1407,14.4,3815,39.2,2180,22.4,503,5.2,692,7.1,478,4.9,78.7
32426,53,9.6,80,14.5,216,39.1,111,20.1,34,6.2,30,5.4,28,5.1,75.9
32427,88,11.1,122,15.3,313,39.4,143,18,42,5.3,44,5.5,43,5.4,73.6
32428,756,6.1,1834,14.8,4940,39.8,2738,22.1,646,5.2,942,7.6,558,4.5,79.1
32430,30,4.3,50,7.1,259,36.9,239,34,30,4.3,87,12.4,7,1,88.6
32431,143,5.1,402,14.4,1308,47,543,19.5,162,5.8,138,5,89,3.2,80.4
32432,0,0,22,47.8,0,0,24,52.2,0,0,0,0,0,0,52.2
32433,750,6.3,2244,18.9,4363,36.8,2569,21.7,888,7.5,718,6.1,328,2.8,74.8
32435,235,4.6,621,12.1,1867,36.4,1104,21.5,230,4.5,570,11.1,501,9.8,83.3
32437,20,3.2,90,14.2,381,60.3,115,18.2,11,1.7,15,2.4,0,0,82.6
32438,257,8.4,366,12,1376,45.2,817,26.8,65,2.1,163,5.4,0,0,79.5
32439,230,3.7,638,10.2,1632,26.2,1848,29.7,438,7,1024,16.4,415,6.7,86.1
32440,408,7.4,1116,20.2,1933,35,1145,20.7,351,6.4,301,5.5,266,4.8,72.4
32442,199,8.4,346,14.6,911,38.4,573,24.1,130,5.5,149,6.3,65,2.7,77
32443,78,3.7,303,14.4,728,34.5,543,25.7,142,6.7,193,9.1,123,5.8,81.9
32444,401,2.7,712,4.8,3663,24.5,3875,25.9,1374,9.2,2892,19.4,2022,13.5,92.5
32445,126,6,490,23.3,790,37.5,406,19.3,91,4.3,144,6.8,60,2.8,70.8
32446,536,6.3,596,7,2629,31,1828,21.5,808,9.5,1139,13.4,956,11.3,86.7
32447,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-
32448,277,4.4,1127,17.8,2266,35.8,1500,23.7,464,7.3,361,5.7,330,5.2,77.8
32449,33,8,77,18.6,161,38.8,87,21,27,6.5,30,7.2,0,0,73.5
32455,271,8.8,646,21,977,31.7,684,22.2,137,4.4,212,6.9,154,5,70.2
32456,217,3.8,404,7,1892,32.9,1295,22.5,558,9.7,821,14.3,562,9.8,89.2
32459,114,1.1,529,5.1,1598,15.3,2930,28.1,895,8.6,3051,29.3,1302,12.5,93.8
32460,368,8.2,824,18.3,1760,39.1,994,22.1,183,4.1,242,5.4,128,2.8,73.5
32461,0,0,0,0,0,0,0,0,0,0,21,100,0,0,100
32462,162,6.5,220,8.9,1048,42.3,624,25.2,182,7.3,164,6.6,79,3.2,84.6
32463,14,11.1,19,15.1,54,42.9,30,23.8,9,7.1,0,0,0,0,73.8
32464,258,8.4,511,16.6,1147,37.2,766,24.9,79,2.6,293,9.5,26,0.8,75
32465,372,5.6,1158,17.5,2495,37.6,1581,23.8,309,4.7,650,9.8,66,1,76.9
32466,117,2.9,626,15.5,1709,42.4,765,19,565,14,167,4.1,81,2,81.6
32501,460,5.5,1025,12.3,2656,31.9,1558,18.7,939,11.3,1011,12.1,690,8.3,82.2
32502,76,3.5,148,6.8,658,30.3,384,17.7,352,16.2,358,16.5,198,9.1,89.7
32503,635,3.2,1159,5.9,4862,24.6,4402,22.3,1858,9.4,4245,21.5,2566,13,90.9
32504,241,1.6,717,4.8,3309,22.3,3922,26.4,1847,12.4,2925,19.7,1883,12.7,93.5
32505,754,4.1,2441,13.1,6974,37.5,3977,21.4,2077,11.2,1567,8.4,814,4.4,82.8
32506,641,2.7,1668,6.9,6516,27.1,6376,26.6,3940,16.4,3393,14.1,1471,6.1,90.4
32507,246,1.2,1318,6.5,5071,24.9,4772,23.4,3170,15.6,3616,17.8,2166,10.6,92.3
32508,3,0.3,0,0,128,11.4,420,37.3,113,10,397,35.3,65,5.8,99.7
32509,16,2.2,31,4.3,253,34.8,226,31.1,43,5.9,95,13.1,63,8.7,93.5
32511,0,0,0,0,26,23,67,59.3,0,0,20,17.7,0,0,100
32514,843,3.1,1430,5.2,7014,25.6,6440,23.5,3603,13.2,5405,19.8,2624,9.6,91.7
32526,859,3.3,1498,5.7,7424,28.2,5686,21.6,4911,18.7,4277,16.3,1632,6.2,91
32530,0,-,0,-,0,-,0,-,0,-,0,-,0,-,-
32531,133,3.6,352,9.6,1230,33.4,1112,30.2,300,8.2,259,7,294,8,86.8
32533,435,2.3,1424,7.5,5650,29.6,3864,20.2,2622,13.7,3610,18.9,1485,7.8,90.3
32534,261,2.6,495,4.9,2999,29.6,2145,21.2,2211,21.8,1577,15.6,440,4.3,92.5
32535,197,4.3,945,20.5,1920,41.7,717,15.6,473,10.3,267,5.8,81,1.8,75.2
32536,321,2.3,709,5.1,3655,26.2,3821,27.4,2013,14.4,2370,17,1057,7.6,92.6
32539,612,3.3,1581,8.5,5717,30.7,5317,28.6,2059,11.1,2379,12.8,934,5,88.2
32541,173,1.3,364,2.8,2696,20.6,3234,24.7,1202,9.2,3518,26.8,1931,14.7,95.9
32542,0,0,18,1.5,140,12,399,34.3,244,21,252,21.6,111,9.5,98.5
32544,0,0,6,1.2,49,9.9,204,41.1,88,17.7,80,16.1,69,13.9,98.8
32547,1281,5.5,1599,6.9,6029,25.9,6105,26.2,2192,9.4,3907,16.8,2193,9.4,87.6
32548,453,3,1144,7.6,4396,29.2,4039,26.8,1438,9.5,2151,14.3,1442,9.6,89.4
32550,59,1,246,4,803,13,1507,24.5,638,10.4,1978,32.1,930,15.1,95
32561,23,0.4,205,3.3,934,14.8,1285,20.4,497,7.9,1844,29.3,1502,23.9,96.4
32563,180,1,551,3.2,3946,22.9,4497,26.1,2230,12.9,3779,21.9,2060,11.9,95.8
32564,90,5,181,10.1,589,32.8,470,26.2,241,13.4,174,9.7,52,2.9,84.9
32565,180,4.6,251,6.4,1697,43.4,623,15.9,439,11.2,518,13.2,205,5.2,89
32566,421,1.8,1101,4.6,5486,23,5897,24.7,3866,16.2,4855,20.4,2222,9.3,93.6
32567,262,10.5,260,10.4,997,40,454,18.2,286,11.5,118,4.7,117,4.7,79.1
32568,72,3.3,160,7.4,918,42.6,432,20.1,307,14.3,172,8,93,4.3,89.2
32569,439,5.3,351,4.2,2364,28.3,2128,25.5,831,9.9,1413,16.9,827,9.9,90.5
32570,459,2.3,1589,7.8,6420,31.5,5450,26.8,2352,11.6,3056,15,1036,5.1,89.9
32571,410,1.9,1366,6.3,5964,27.7,4337,20.1,2933,13.6,4432,20.6,2114,9.8,91.8
32577,98,3.1,256,8.1,1007,32,737,23.4,465,14.8,475,15.1,109,3.5,88.8
32578,248,1.1,718,3.2,4432,19.6,4885,21.6,2268,10,5518,24.4,4579,20.2,95.7
32579,188,2.5,286,3.8,1639,21.9,1772,23.7,687,9.2,1640,21.9,1262,16.9,93.7
32580,0,0,144,5.1,721,25.7,931,33.2,240,8.6,339,12.1,432,15.4,94.9
32583,1013,4.7,3365,15.7,6636,30.9,4822,22.4,1796,8.4,2474,11.5,1389,6.5,79.6
32601,277,3.1,349,3.9,1922,21.2,1645,18.2,745,8.2,1881,20.8,2238,24.7,93.1
32603,0,0,72,5.2,95,6.9,161,11.7,51,3.7,302,21.9,699,50.7,94.8
32605,269,1.6,205,1.2,2757,16.6,2800,16.8,1415,8.5,4053,24.4,5134,30.9,97.2
32606,265,1.6,457,2.8,2067,12.7,2816,17.3,1617,9.9,4415,27,4686,28.7,95.6
32607,474,3.1,598,3.9,3120,20.6,2881,19,1377,9.1,3659,24.1,3049,20.1,92.9
32608,632,2.3,1007,3.6,4400,15.7,4224,15.1,2599,9.3,7465,26.7,7673,27.4,94.1
32609,1111,9.3,1038,8.7,3583,30,2647,22.1,1037,8.7,1490,12.5,1050,8.8,82
32612,0,0,0,0,0,0,0,0,0,0,0,0,6,100,100
32615,116,1.1,454,4.4,2510,24.4,2487,24.2,1425,13.9,2253,21.9,1023,10,94.4
32616,23,3.7,78,12.5,327,52.4,51,8.2,43,6.9,86,13.8,16,2.6,83.8
32617,105,3.3,367,11.7,1184,37.7,623,19.8,461,14.7,185,5.9,216,6.9,85
32618,220,3.9,401,7.1,1637,29,1019,18.1,765,13.6,886,15.7,713,12.6,89
32619,248,8,295,9.5,1137,36.7,749,24.2,316,10.2,242,7.8,112,3.6,82.5
32621,219,5.5,796,19.9,1497,37.4,846,21.1,345,8.6,243,6.1,60,1.5,74.7
32622,20,2.4,139,17,398,48.7,109,13.3,63,7.7,76,9.3,13,1.6,80.6
32625,3,0.3,81,6.8,443,37.1,221,18.5,121,10.1,177,14.8,149,12.5,93
32626,444,7.5,932,15.7,2432,41,1132,19.1,496,8.4,348,5.9,147,2.5,76.8
32628,294,7.9,669,17.9,1648,44.1,733,19.6,155,4.1,147,3.9,89,2.4,74.2
32631,0,0,0,0,22,5.2,117,27.5,57,13.4,57,13.4,172,40.5,100
32639,0,0,0,0,18,66.7,9,33.3,0,0,0,0,0,0,100
32640,268,3.2,946,11.4,3117,37.5,1868,22.5,815,9.8,754,9.1,534,6.4,85.4
32641,252,2.8,1264,14,3431,38,2156,23.9,741,8.2,825,9.1,356,3.9,83.2
32643,238,3,411,5.2,2443,30.9,1917,24.3,1029,13,1076,13.6,789,10,91.8
32648,29,10.9,21,7.9,106,40,56,21.1,31,11.7,15,5.7,7,2.6,81.1
32653,65,0.6,366,3.7,2093,20.9,1792,17.9,1434,14.3,2040,20.4,2217,22.2,95.7
32656,339,3.4,1046,10.5,3368,33.8,2492,25,1155,11.6,1253,12.6,320,3.2,86.1
32658,10,5.7,14,8,66,37.9,52,29.9,20,11.5,11,6.3,1,0.6,86.2
32664,28,5.2,51,9.6,262,49.1,72,13.5,7,1.3,78,14.6,36,6.7,85.2
32666,159,3.4,299,6.4,1636,35,1177,25.2,495,10.6,522,11.2,383,8.2,90.2
32667,54,2.1,101,3.9,755,29.3,417,16.2,327,12.7,440,17.1,480,18.6,94
32668,77,2.6,170,5.6,1319,43.8,668,22.2,314,10.4,206,6.8,257,8.5,91.8
32669,77,1,357,4.5,2061,26.1,1609,20.4,1104,14,1821,23.1,857,10.9,94.5
32680,633,8.5,951,12.8,3171,42.8,1651,22.3,507,6.8,394,5.3,99,1.3,78.6
32681,0,0,0,0,28,36.8,0,0,0,0,48,63.2,0,0,100
32683,11,6.1,16,8.8,117,64.6,10,5.5,27,14.9,0,0,0,0,85.1
32686,112,2.8,503,12.8,1732,44,658,16.7,292,7.4,389,9.9,250,6.4,84.4
32692,26,12.1,0,0,61,28.4,106,49.3,22,10.2,0,0,0,0,87.9
32693,352,4.3,1176,14.5,3210,39.6,1707,21.1,619,7.6,734,9.1,310,3.8,81.2
32694,73,4.7,122,7.8,662,42.3,301,19.2,190,12.1,163,10.4,54,3.5,87.5
32696,266,3.1,938,11,3430,40.2,1882,22.1,816,9.6,726,8.5,472,5.5,85.9
32697,31,15.3,36,17.7,85,41.9,41,20.2,6,3,0,0,4,2,67
32701,607,3.6,648,3.9,4005,23.9,3664,21.9,1838,11,4132,24.7,1855,11.1,92.5
32702,67,3.1,325,15.3,833,39.1,363,17,220,10.3,202,9.5,121,5.7,81.6
32703,2224,6.9,2649,8.3,10877,34,6780,21.2,2872,9,4606,14.4,2025,6.3,84.8
32707,585,2.2,1081,4.1,6526,25,6175,23.6,4639,17.7,5320,20.4,1816,6.9,93.6
32708,633,2,1216,3.8,7445,23.4,6442,20.3,3939,12.4,8100,25.5,3999,12.6,94.2
32709,88,5.1,191,11.2,588,34.3,466,27.2,123,7.2,142,8.3,114,6.7,83.7
32712,1790,5.8,2522,8.1,8230,26.6,6811,22,3043,9.8,5441,17.6,3131,10.1,86.1
32713,284,1.9,1016,6.7,5323,35.1,3524,23.2,1316,8.7,2601,17.1,1113,7.3,91.4
32714,624,2.4,1179,4.6,6606,25.7,6110,23.8,3499,13.6,5264,20.5,2429,9.4,93
32720,809,3.8,1914,9.1,6732,32,4964,23.6,2144,10.2,2941,14,1556,7.4,87.1
32724,470,2,2045,8.7,7862,33.4,5010,21.3,2545,10.8,3504,14.9,2112,9,89.3
32725,1087,3.3,2691,8.2,11803,35.8,7893,23.9,3931,11.9,4085,12.4,1499,4.5,88.5
32726,848,5.6,1212,8.1,6206,41.3,2835,18.9,1294,8.6,1921,12.8,703,4.7,86.3
32730,70,1.8,106,2.7,941,24.3,809,20.9,832,21.5,801,20.7,313,8.1,95.5
32732,79,2.1,196,5.1,1338,34.8,727,18.9,596,15.5,619,16.1,287,7.5,92.8
32735,49,1.6,252,8.1,919,29.5,795,25.5,438,14,374,12,292,9.4,90.3
32736,294,4.1,578,8.1,2171,30.3,1692,23.6,690,9.6,1048,14.6,686,9.6,87.8
32738,1003,3.5,2378,8.2,10490,36.2,6900,23.8,3162,10.9,3860,13.3,1170,4,88.3
32744,91,3.2,216,7.7,1026,36.4,648,23,270,9.6,433,15.4,136,4.8,89.1
32746,571,1.9,941,3.2,4827,16.2,6323,21.3,3116,10.5,9148,30.8,4801,16.2,94.9
32750,551,3.1,742,4.2,4710,26.7,4091,23.2,2134,12.1,3642,20.7,1744,9.9,92.7
32751,137,0.9,520,3.4,2701,17.5,2556,16.5,1406,9.1,5122,33.1,3017,19.5,95.8
32754,238,3.1,683,8.9,2603,34.1,1848,24.2,772,10.1,971,12.7,524,6.9,87.9
32757,1000,5.2,1365,7.1,5480,28.5,4143,21.6,1634,8.5,3441,17.9,2141,11.1,87.7
32759,107,4.8,282,12.8,907,41.1,489,22.1,160,7.2,213,9.6,51,2.3,82.4
32763,547,3.3,1200,7.3,6190,37.6,4034,24.5,1705,10.4,2050,12.5,721,4.4,89.4
32764,78,2.9,431,16,964,35.8,561,20.8,276,10.3,285,10.6,97,3.6,81.1
32765,743,2,1097,2.9,7070,18.6,6533,17.2,5652,14.9,10640,28,6246,16.4,95.2
32766,270,2.6,347,3.4,1847,18,2056,20,1198,11.7,2930,28.6,1610,15.7,94
32767,170,8.1,371,17.7,983,46.8,287,13.7,233,11.1,44,2.1,12,0.6,74.2
32771,1099,3.2,2475,7.2,8895,25.8,7402,21.5,4197,12.2,7074,20.5,3301,9.6,89.6
32773,850,4.3,1218,6.1,6665,33.6,4502,22.7,2856,14.4,2744,13.8,1005,5.1,89.6
32776,607,7.5,545,6.8,2258,28,1976,24.5,718,8.9,1122,13.9,825,10.2,85.7
32778,592,3.7,1244,7.7,5906,36.7,3594,22.3,1502,9.3,2059,12.8,1211,7.5,88.6
32779,192,0.9,492,2.3,3247,15.5,3745,17.8,2420,11.5,6809,32.4,4101,19.5,96.7
32780,425,1.6,1625,6.1,7833,29.4,6363,23.9,3103,11.7,4974,18.7,2277,8.6,92.3
32784,303,3.7,1162,14,2985,36,1997,24.1,783,9.4,599,7.2,470,5.7,82.3
32789,290,1.6,688,3.9,2637,14.9,2418,13.7,1170,6.6,5598,31.6,4892,27.6,94.5
32792,864,2.5,1555,4.4,8255,23.5,8277,23.5,3975,11.3,8072,22.9,4194,11.9,93.1
32796,240,1.5,1032,6.5,5041,31.9,3961,25,2218,14,2188,13.8,1138,7.2,92
32798,106,5,170,8,778,36.5,586,27.5,113,5.3,325,15.3,51,2.4,87
32801,304,2.9,412,3.9,2187,20.9,1303,12.5,776,7.4,3692,35.3,1789,17.1,93.2
32803,87,0.6,295,2.1,2169,15.4,2230,15.8,1669,11.8,4872,34.5,2808,19.9,97.3
32804,196,1.4,403,2.9,3065,22,2190,15.7,1135,8.2,4501,32.4,2415,17.4,95.7
32805,1316,9.1,2352,16.3,5057,35.1,2579,17.9,834,5.8,1743,12.1,533,3.7,74.6
32806,317,1.6,1062,5.3,5175,26,3796,19.1,2157,10.9,4830,24.3,2531,12.7,93.1
32807,2314,10.6,2518,11.5,7411,33.9,3721,17,2413,11,2666,12.2,811,3.7,77.9
32808,2431,7.6,4795,15.1,10943,34.4,6296,19.8,3174,10,2721,8.6,1440,4.5,77.3
32809,1812,9.8,1795,9.7,7011,38,3474,18.8,1437,7.8,2097,11.4,840,4.5,80.5
32810,1058,4.5,2124,9,7561,32,5322,22.5,2743,11.6,3704,15.7,1112,4.7,86.5
32811,1462,6,2234,9.1,7286,29.8,5849,24,2615,10.7,3598,14.7,1373,5.6,84.9
32812,759,2.9,1494,5.8,7144,27.6,5322,20.6,3496,13.5,5276,20.4,2375,9.2,91.3
32814,23,0.4,112,2,494,8.9,645,11.6,459,8.3,2100,37.9,1704,30.8,97.6
32817,607,2.9,1525,7.4,4860,23.6,3831,18.6,2437,11.8,4938,24,2410,11.7,89.7
32818,2486,7.8,3414,10.8,10483,33,6577,20.7,3111,9.8,4139,13,1541,4.9,81.4
32819,581,3,850,4.4,3424,17.8,3795,19.7,2164,11.3,5637,29.3,2780,14.5,92.6
32820,318,5.3,583,9.7,1263,21.1,1251,20.9,565,9.4,1243,20.7,769,12.8,85
32821,266,2.1,773,6.2,2906,23.2,2520,20.1,1367,10.9,3716,29.7,983,7.8,91.7
32822,2113,5.5,4748,12.4,12445,32.5,7913,20.7,4244,11.1,5170,13.5,1665,4.3,82.1
32824,1589,5.8,2073,7.5,7606,27.6,6624,24,3451,12.5,4764,17.3,1477,5.4,86.7
32825,1604,4.2,2974,7.8,8795,23.1,8383,22,4475,11.8,8201,21.6,3608,9.5,88
32826,531,3.9,939,7,3148,23.4,2105,15.7,1774,13.2,3256,24.2,1695,12.6,89.1
32827,58,1,279,4.6,1238,20.6,913,15.2,573,9.5,1520,25.3,1436,23.9,94.4
32828,1011,2.6,1747,4.5,6602,17.1,7802,20.2,4646,12,11471,29.6,5427,14,92.9
32829,566,4.1,813,5.9,3280,23.7,2507,18.1,2125,15.4,2570,18.6,1967,14.2,90
32830,0,0,2,18.2,4,36.4,0,0,5,45.5,0,0,0,0,81.8
32831,321,11.3,783,27.7,1183,41.8,282,10,138,4.9,78,2.8,44,1.6,61
32832,290,2.2,322,2.5,1678,12.9,2505,19.3,1423,11,4436,34.1,2339,18,95.3
32833,102,1.6,344,5.3,2343,36,1495,23,733,11.3,857,13.2,633,9.7,93.1
32835,1110,3.7,1497,5.1,7256,24.5,5369,18.1,3217,10.9,6787,22.9,4391,14.8,91.2
32836,322,2.6,484,3.9,2038,16.3,1817,14.6,1350,10.8,4283,34.3,2191,17.5,93.5
32837,1461,4,2112,5.9,8520,23.6,8169,22.6,3564,9.9,8309,23,3953,11,90.1
32839,2885,8.6,4088,12.1,10263,30.5,7359,21.9,2806,8.3,5188,15.4,1075,3.2,79.3
32901,755,4.2,1356,7.5,5491,30.4,4015,22.2,1571,8.7,3105,17.2,1783,9.9,88.3
32903,85,0.8,242,2.3,1983,18.6,2250,21.1,1049,9.9,2899,27.2,2141,20.1,96.9
32904,306,1.5,1247,6,6106,29.2,4188,20,2422,11.6,4125,19.7,2497,12,92.6
32905,641,3.8,1603,9.6,5366,32.1,3862,23.1,2199,13.1,2102,12.6,968,5.8,86.6
32907,936,3.2,1990,6.7,10072,34,7433,25.1,3233,10.9,4137,14,1794,6.1,90.1
32908,327,4.3,365,4.8,2941,38.8,1931,25.4,805,10.6,910,12,310,4.1,90.9
32909,1113,5.3,1182,5.7,7462,35.8,5247,25.2,2333,11.2,2111,10.1,1407,6.7,89
32920,128,1.5,486,5.6,2517,29,2231,25.7,1028,11.8,1180,13.6,1114,12.8,92.9
32922,822,8.4,1155,11.8,3254,33.2,2047,20.9,1145,11.7,900,9.2,488,5,79.8
32925,12,1.6,27,3.7,108,14.8,217,29.8,110,15.1,173,23.8,81,11.1,94.6
32926,484,3,1910,11.9,4711,29.3,4257,26.5,1904,11.8,2046,12.7,760,4.7,85.1
32927,495,2.7,1281,7.1,6315,35,4522,25,2302,12.7,2130,11.8,1021,5.7,90.2
32931,181,1.5,252,2.1,2694,22.6,2500,21,1319,11.1,2948,24.8,2009,16.9,96.4
32934,313,2.3,749,5.5,3233,23.8,3087,22.7,1568,11.5,2263,16.6,2381,17.5,92.2
32935,935,3.1,2721,8.9,9851,32.4,7075,23.3,3546,11.7,4036,13.3,2264,7.4,88
32937,273,1.4,663,3.4,4405,22.6,4155,21.4,2178,11.2,4563,23.4,3222,16.6,95.2
32940,319,1.2,983,3.7,4955,18.7,5758,21.7,3004,11.3,6561,24.7,4935,18.6,95.1
32948,1124,26.2,562,13.1,1119,26,794,18.5,263,6.1,385,9,50,1.2,60.8
32949,0,0,105,5.3,588,29.6,602,30.3,253,12.7,239,12,200,10.1,94.7
32950,10,0.3,70,2.3,893,29.4,818,26.9,330,10.9,608,20,307,10.1,97.4
32951,104,1.1,264,2.8,2155,22.4,1785,18.6,1060,11,2497,26,1735,18.1,96.2
32952,134,0.9,654,4.3,3770,24.5,3055,19.9,2018,13.1,3652,23.7,2095,13.6,94.9
32953,394,2.3,1034,6,4773,27.7,3912,22.7,2192,12.7,3069,17.8,1850,10.7,91.7
32955,644,2.3,1192,4.2,6672,23.8,6258,22.3,3518,12.5,5888,21,3876,13.8,93.5
32958,656,3.1,2044,9.6,7568,35.6,4737,22.3,2055,9.7,2617,12.3,1601,7.5,87.3
32960,600,3.8,1898,11.9,5202,32.6,3421,21.4,1391,8.7,2232,14,1232,7.7,84.4
32962,875,4.9,1274,7.2,5852,33,4099,23.1,2191,12.4,2382,13.4,1064,6,87.9
32963,215,1.6,101,0.8,1388,10.4,2004,15,958,7.2,4690,35.2,3964,29.8,97.6
32966,537,3.9,786,5.7,4841,35.3,2994,21.9,1151,8.4,1925,14.1,1467,10.7,90.3
32967,738,5.4,1515,11.1,4560,33.4,2644,19.4,1335,9.8,1666,12.2,1187,8.7,83.5
32968,258,2.6,494,5,2591,26,2149,21.6,1069,10.7,2298,23.1,1102,11.1,92.5
32970,0,0,0,0,62,47.7,41,31.5,0,0,0,0,27,20.8,100
32976,324,4.3,864,11.4,3267,43.1,1668,22,537,7.1,633,8.3,291,3.8,84.3
33001,0,0,16,8.9,55,30.6,31,17.2,8,4.4,41,22.8,29,16.1,91.1
33004,559,4.6,1137,9.4,3811,31.5,2719,22.5,989,8.2,2013,16.6,873,7.2,86
33009,2180,6.9,2340,7.4,8840,28,5782,18.3,2987,9.4,5897,18.6,3597,11.4,85.7
33010,7058,20,4103,11.7,13168,37.4,5016,14.2,1516,4.3,3531,10,822,2.3,68.3
33012,10354,17.9,6554,11.3,20974,36.2,7230,12.5,4277,7.4,6075,10.5,2484,4.3,70.8
33013,5536,21.4,3275,12.7,9685,37.4,2932,11.3,1703,6.6,2121,8.2,620,2.4,65.9
33014,3700,12.8,2925,10.1,8605,29.7,5351,18.5,2610,9,3847,13.3,1888,6.5,77.1
33015,2871,6.3,3239,7.1,13636,29.9,8944,19.6,6353,13.9,7237,15.9,3291,7.2,86.6
33016,4562,13.1,3250,9.4,11429,32.9,4986,14.4,3479,10,5116,14.7,1903,5.5,77.5
33018,3916,11.4,3243,9.5,11349,33.2,5384,15.7,3265,9.5,4962,14.5,2086,6.1,79.1
33019,330,2.7,512,4.1,2282,18.4,2323,18.8,1145,9.2,2985,24.1,2812,22.7,93.2
33020,1788,5.6,2739,8.5,10312,32.1,6907,21.5,3336,10.4,4890,15.2,2202,6.8,85.9
33021,2088,5.9,2252,6.4,9735,27.7,7175,20.4,3436,9.8,6418,18.2,4079,11.6,87.7
33023,3726,8,4900,10.5,15897,34.2,9590,20.6,5120,11,4968,10.7,2302,5,81.5
33024,3146,6.4,3358,6.8,15451,31.5,10535,21.4,5229,10.6,7616,15.5,3780,7.7,86.8
33025,1331,3,1624,3.7,11748,26.8,10352,23.6,6249,14.3,8337,19,4141,9.5,93.3
